	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	10,760	12,806	11,214		2,689	2,931	2,815	
영업이익	565	686	421		83	110	97	
영업이익(발표기준)	565	686	421		83	110	97	
세전계속사업이익	556	652	407		89	107	92	
당기순이익	420	466	351		80	91	66	
당기순이익(지배)	411	450	346		82	82	64	
당기순이익(비지배)	10							
자산총계	7,885	8,544	9,054		9,388	9,054	10,057	
부채총계	3,207	3,548	3,773		4,183	3,773	4,782	
자본총계	4,679	4,996	5,282		5,205	5,282	5,276	
자본총계(지배)	4,582	4,886	5,166		5,097	5,166	5,153	
자본총계(비지배)	97							
자본금	291	291	291		291	291	291	
영업활동현금흐름	301	-121	879		386	218	-278	
투자활동현금흐름	-769	-112	-1,020		-317	184	-425	
재무활동현금흐름	219	349	-21		164	-603	872	
CAPEX	441	412	705		124	142	76	
FCF	-140	-534	174		262	77	-354	
이자발생부채	1,372	1,867	1,934		2,554	1,934	2,961	
영업이익률	5.25	5.36	3.75		3.10	3.75	3.46	
순이익률	3.91	3.64	3.13		2.96	3.12	2.35	
ROE(%)	9.18	9.50	6.89		6.71	6.89	6.41	
ROA(%)	5.71	5.68	3.99		3.60	3.99	3.40	
부채비율	68.54	71.00	71.43		80.36	71.43	90.64	
자본유보율	1,517.37	1,637.40	1,740.50		1,699.52	1,740.50	1,733.82	
EPS(원)	7,070	7,743	5,958		1,416	1,415	1,103	
PER(배)	8.92	5.90	7.90		7.81	7.90	6.96	
BPS(원)	80,866	87,772	92,813		91,575	92,813	94,110	
PBR(배)	0.78	0.52	0.51		0.49	0.51	0.41	
현금DPS(원)	1,500	1,500	1,500		0	1,500		
현금배당수익률	2.38	3.29	3.19					
현금배당성향(%)	20.69	18.56	24.12		0.00	101.56		
발행주식수(보통주)	5,810,616	5,810,616	5,810,616		5,810,616	5,810,616	5,810,616	
