	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	724	935	1,281		262	348	414	
영업이익	5	2	51		15	24	2	
영업이익(발표기준)	5	2	51		15	24	2	
세전계속사업이익	-17	11	58		16	38	-11	
당기순이익	-18	10	46		14	35	-17	
당기순이익(지배)	-20	15	46		14	35	-17	
당기순이익(비지배)	1							
자산총계	991	1,056	1,068		1,007	1,106	1,068	
부채총계	230	300	283		234	297	283	
자본총계	761	756	785		773	809	785	
자본총계(지배)	756	756	785		773	809	785	
자본총계(비지배)	6							
자본금	100	100	100		100	100	100	
영업활동현금흐름	-77	-44	-50		-61	3	-5	
투자활동현금흐름	-109	23	-44		-14	-11	-15	
재무활동현금흐름	370	-10	15		-13	-2	30	
CAPEX	12	24	20		7	2	12	
FCF	-89	-69	-70		-68	1	-16	
이자발생부채	0	0	32		5	3	32	
영업이익률	0.74	0.24	3.94		5.55	7.03	0.57	
순이익률	-2.53	1.03	3.59		5.42	10.18	-4.10	
ROE(%)	-3.39	2.00	5.96		7.16	11.15	5.96	
ROA(%)	-2.31	0.94	4.32		5.46	8.44	4.32	
부채비율	30.19	39.61	36.02		30.28	36.74	36.02	
자본유보율	654.56	657.40	686.40		674.55	709.82	686.40	
EPS(원)	-99	76	229		71	177	-85	
PER(배)	N/A	114.54	47.99		40.12	19.39	47.99	
BPS(원)	3,778	3,774	3,919		3,860	4,036	3,919	
PBR(배)	4.47	2.29	2.81		2.80	2.07	2.81	
현금DPS(원)	50	50	70		0	0	70	
현금배당수익률	0.30	0.58	0.64					
현금배당성향(%)	-50.80	66.22	30.54		0.00	0.00	-82.71	
발행주식수(보통주)	20,000,000	20,033,946	20,033,946		20,033,946	20,033,946	20,033,946	
